duration,v_3,v_4,v_5,v_7,v_8,v_9,Headlines AVG Score,v_12,v_13,v_15,v_17,v_18,v_16,v_25,v_26,v_23,v_24,v_14,v_1,v_2
319,5,2,2,2,3,2,9,1,3,1,7,7,7,1,1,3,7,1,2,2
158,5,2,3,3,3,3,12,1,1,1,1,1,1,7,1,1,7,1,2,2
194,1,3,1,1,1,2,5,6,3,2,5,3,6,3,1,3,5,5,3,2
164,5,2,1,1,1,1,4,1,2,1,4,7,7,1,1,1,7,7,3,2
206,1,2,1,2,3,3,9,1,1,2,5,5,6,2,1,4,5,2,3,1
268,1,2,2,3,1,1,7,1,3,3,6,4,4,2,1,1,6,2,2,2
268,5,2,3,2,1,1,7,1,1,1,7,3,2,2,1,1,7,4,2,2
315,5,2,3,3,3,3,12,1,1,1,6,5,6,2,1,3,7,4,2,1
-1,5,2,3,3,3,3,12,1,1,1,4,5,4,2,1,1,5,7,2,3
320,5,2,3,3,3,3,12,3,2,3,3,4,2,3,1,1,7,1,2,2
190,1,2,3,2,2,2,9,1,2,2,7,4,7,2,1,5,4,1,2,1
584,5,2,2,3,1,2,8,4,2,2,4,6,3,1,1,2,6,4,2,2
190,5,2,2,2,2,2,8,3,2,2,6,6,5,2,1,4,6,2,2,2
148,1,2,1,1,1,1,4,2,4,1,6,7,6,4,1,3,7,5,2,2
203,5,2,3,3,3,3,12,1,1,3,1,1,7,1,1,1,1,1,2,2
1004,5,2,1,3,3,2,9,2,3,2,5,7,5,2,1,1,7,2,2,2
349,5,2,1,1,3,3,8,3,2,2,5,7,5,1,1,2,7,4,2,2
213,5,3,2,2,1,2,7,2,2,2,6,4,3,1,2,3,2,4,2,1
210,5,2,3,3,3,3,12,1,4,3,5,7,7,1,1,2,6,1,2,2
192,5,2,1,1,1,1,4,2,1,1,7,5,5,1,1,4,5,7,2,1
84,5,2,2,3,2,2,9,4,4,4,4,5,4,5,5,4,5,4,2,1
188,1,3,3,3,3,2,11,2,3,3,5,3,5,2,1,2,7,4,2,2
165,5,2,3,3,3,2,11,1,2,1,6,6,6,2,1,3,5,2,2,2
79,1,2,3,3,3,3,12,1,1,2,7,1,1,1,1,3,2,3,3,2
181,5,2,1,1,1,1,4,1,1,1,2,1,6,1,1,2,2,5,3,2
136,1,1,3,3,3,3,12,2,2,2,2,2,2,6,1,3,2,3,2,2
109,1,2,2,2,2,2,8,5,5,5,6,7,5,2,2,3,5,3,3,1
207,5,2,3,3,3,3,12,3,2,3,2,3,6,2,1,2,7,2,2,2
168,1,2,3,3,2,3,11,4,3,3,5,6,3,2,1,3,7,1,3,1
314,5,2,1,1,2,1,5,5,3,2,6,4,6,6,3,5,3,6,2,1
202,5,2,1,2,1,2,6,1,1,1,1,1,2,5,5,5,4,3,2,1
257,1,2,3,3,2,3,11,1,1,5,1,7,5,3,2,4,6,4,2,1
145,5,2,1,2,2,2,7,1,2,2,6,6,5,3,3,2,5,4,2,2
